Team Name,Player Name,Selected Position,Eligible Positions,Status,Date
Russian Gas,Shayne Gostisbehere,IR+,"['D', 'Util']",CHEESED,2026-03-29_23-42
E.M’s Hartbreak,Dylan Larkin,IR+,"['C', 'Util']",CHEESED,2026-03-29_23-42
Bob's Beauties,Logan Cooley,IR+,"['C', 'Util']",CHEESED,2026-03-29_23-42
Bob's Beauties,Travis Konecny,IR+,"['LW', 'RW', 'Util']",CHEESED,2026-03-29_23-42
The Pink Whitney's,Tom Wilson,IR+,"['RW', 'Util']",CHEESED,2026-03-29_23-42
The Pink Whitney's,Robert Thomas,IR+,"['C', 'Util']",CHEESED,2026-03-29_23-42
