Team,Offday Games,Total Games
NYR,3,4
BUF,2,3
BOS,1,4
CHI,1,4
DET,1,3
OTT,1,4
TOR,1,3
ANA,0,3
CGY,0,3
CAR,0,3
COL,0,3
CBJ,0,4
DAL,0,4
EDM,0,3
FLA,0,4
LAK,0,3
MIN,0,3
MTL,0,4
NSH,0,4
NYI,0,3
PHI,0,4
PIT,0,3
SEA,0,3
STL,0,3
UTA,0,3
VAN,0,3
VGK,0,3
WSH,0,3
WPG,0,3
