Team Name,Player Name,Selected Position,Eligible Positions,Status,Date
I’ll Belak.,Kirill Kaprizov,IR+,"['LW', 'Util']",CHEESED,2026-03-27_00-18
E.M’s Hartbreak,Dylan Larkin,IR+,"['C', 'Util']",CHEESED,2026-03-27_00-18
Bob's Beauties,Logan Cooley,IR+,"['C', 'Util']",CHEESED,2026-03-27_00-18
Bob's Beauties,Travis Konecny,IR+,"['LW', 'RW', 'Util']",CHEESED,2026-03-27_00-18
The Pink Whitney's,Tom Wilson,IR+,"['RW', 'Util']",CHEESED,2026-03-27_00-18
